client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20260212-183000-001-000-1,BACKTESTER-001,EMACross-000,SBIN-EQ.NSE,NSE-1-001,NSE-1-001,NSE-001,NSE-1-021,MARKET,BUY,10,GTC,False,False,10,TAKER,1198.6,0.0,['0.00 INR'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,91d02ffa-2da0-4047-afb1-77eddb1b0444,2026-02-12 18:30:00+00:00,2026-02-12 18:30:00+00:00
O-20260216-183000-001-000-2,BACKTESTER-001,EMACross-000,SBIN-EQ.NSE,NSE-1-002,NSE-1-001,NSE-001,NSE-1-024,MARKET,SELL,10,GTC,True,False,10,TAKER,1215.0,0.0,['0.00 INR'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,bd76316c-e120-48cc-a5f1-85bcb4c4ff27,2026-02-16 18:30:00+00:00,2026-02-16 18:30:00+00:00
